scene_id,scene_name,category,media_type,source,query,priority,intended_use
01,世界入口,真实银河/深空,image,NASA Image API,"milky way galaxy panorama",S,"门后宇宙、真实星尘背景"
01,世界入口,云海/山巅,image,Wikimedia Commons,"mountain cloud sea sunrise",A,"近距离山巅入口与云海真实感"
01,世界入口,古典石拱门,image,Wikimedia Commons,"stone arch ruins wide angle",A,"西方版入口前景材质"
02,世界地图,星图/天文制图,image,NASA Image API,"star map celestial sphere",S,"数据星图、Atlas 视觉秩序"
02,世界地图,黄铜仪器,image,Wikimedia Commons,"brass astrolabe compass telescope",A,"星图室近景真实材质"
02,世界地图,雪山银河,image,Pexels Search,"milky way mountains",B,"窗外真实山脉星空"
03,典藏星馆,深空星云,image,NASA Image API,"nebula Hubble Webb",S,"天窗外宇宙"
03,典藏星馆,古典图书馆,image,Wikimedia Commons,"baroque library interior",A,"真实藏书阁参考"
03,典藏星馆,书页/纸张,image,Pexels Search,"old books close up",B,"前景书页材质"
04,创作工坊,桌面书房,image,Pexels Search,"wooden desk manuscript keyboard tea plant",B,"近距离创作台"
04,创作工坊,窗外银河,image,NASA Image API,"milky way stars",S,"窗外宇宙尺度"
04,创作工坊,数据光尘,reference,Custom,"subtle spectrum lines astronomical coordinates",A,"后期叠加数据秩序"
05,生活浮屿,悬崖/巨岩,image,Wikimedia Commons,"cliff rock waterfall moss",A,"真实悬空岛屿地质参考"
05,生活浮屿,瀑布水雾,video,Pexels Search,"waterfall mist slow motion",B,"悬浮岩岛动态素材"
05,生活浮屿,山间小屋,image,Pexels Search,"mountain cabin garden",B,"生活气息"
06,家族花园,温室花园,image,Wikimedia Commons,"botanical garden greenhouse glass dome",A,"空中花园/家庭庭院"
06,家族花园,花草水珠,image,Pexels Search,"flower petals dew close up",B,"近景触感"
06,家族花园,月光星空,image,NASA Image API,"moon starry sky",S,"穹顶外星空"
07,时间长河,河流星空,image,Pexels Search,"river reflection milky way",B,"河面倒映"
07,时间长河,古桥钟楼,image,Wikimedia Commons,"stone bridge clock tower river night",A,"时间意象"
07,时间长河,星轨,video,NASA Image API,"star trails time lapse",S,"时间流动"
08,AI灯塔,天文台,image,ESO Public Images,"observatory telescope stars",S,"观星问道台/AI灯塔真实参考"
08,AI灯塔,望远镜近景,image,Wikimedia Commons,"large telescope brass close up",A,"近景压迫物"
08,AI灯塔,星轨/光谱,image,NASA Image API,"spectral lines stars",S,"数据秩序"
09,生长四季,春花,image,Pexels Search,"spring flowers mountain valley",B,"四季春"
09,生长四季,夏绿,image,Pexels Search,"summer green forest valley",B,"四季夏"
09,生长四季,秋叶,image,Pexels Search,"autumn forest mountain valley",B,"四季秋"
09,生长四季,冬雪,image,Pexels Search,"winter snow forest valley",B,"四季冬"
09,生长四季,树干年轮,image,Wikimedia Commons,"tree rings bark close up",A,"生长秩序近景"
